county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
臺中市,佑芯身心診所,https://www.youthink.com.tw/,04-22470375,臺中市北屯區興安路二段7號,https://www.google.com.tw/maps/place/臺中市北屯區興安路二段7號,無,15,15,15,0,45,2026/01/08,false,true
臺中市,財團法人台灣省私立台中仁愛之家附設靜和醫院,http://www.cott.org.tw/,04-2371-1129 # 1123、1124,臺中市西區南屯路一段158號,https://www.google.com.tw/maps/place/臺中市西區南屯路一段158號,無,3,3,3,0,9,2026/01/06,false,true
臺中市,話嶼心理諮商所,https://dialogueisland.com,04-2233-5920,臺中市北區雙十路二段101號5樓之五,https://www.google.com.tw/maps/place/臺中市北區雙十路二段101號5樓之五,掛號費500元,8,8,8,0,24,2026/01/09,true,true
臺中市,明朗身心診所,https://www.moodlight.com.tw/,04-2483-6800,臺中市大里區新仁路二段96號,https://www.google.com.tw/maps/place/臺中市大里區新仁路二段96號,掛號費250元,10,10,10,0,30,2026/01/07,true,true
臺中市,向陽心理治療所,https://sunyoung-psy.com/web-appointment/,0985911807 或加入Line ID: @585xemue,臺中市西屯區大墩十九街151號,https://www.google.com.tw/maps/place/臺中市西屯區大墩十九街151號,行政手續費200元,12,12,12,0,36,2026/01/08,true,true
臺中市,寶貝心理諮商所,https://babycounselingtw.weebly.com/,0966299469 或加入Line ID : @330mnqrw,臺中市梧棲區民和路一段200號2樓,https://www.google.com.tw/maps/place/臺中市梧棲區民和路一段200號2樓,無,15,15,15,0,45,2026/01/08,true,true
臺中市,怡然心理治療所,http://yiranmind.com,0905-467481,臺中市西區三民路一段170號4樓之2,https://www.google.com.tw/maps/place/臺中市西區三民路一段170號4樓之2,無,0,1,1,0,2,2026/01/09,true,true
臺中市,訴心理諮商所,https://sulisten.com/,0908512345 或加入Line ID：@sulisten,臺中市西屯區市政北七路186號13樓之8,https://www.google.com.tw/maps/place/臺中市西屯區市政北七路186號13樓之8,行政費用700元,17,19,15,0,51,2026/01/08,true,true
臺中市,如穎心理成長中心心理治療所,http://blog.ru-yin.org,04-2228-2220,臺中市中區柳川東路三段5號5樓,https://www.google.com.tw/maps/place/臺中市中區柳川東路三段5號5樓,掛號費100元,15,15,15,0,45,2026/01/07,true,true
臺中市,心嶼心理治療所,https://www.heartisland.com.tw/,0903-645359,臺中市北屯區軍福十三路327號1、2樓,https://www.google.com.tw/maps/place/臺中市北屯區軍福十三路327號1、2樓,無,10,10,10,0,30,2026/01/07,false,true
臺中市,昕晴空間心理諮商所,https://www.thesunden.tw/,04-2662-8880,臺中市沙鹿區光華路499號,https://www.google.com.tw/maps/place/臺中市沙鹿區光華路499號,無,8,12,12,0,32,2026/01/07,true,true
臺中市,靜馨心理治療所,https://www.drchaoclinic.com/,04-2382-3966,臺中市南屯區黎明路一段1144號,https://www.google.com.tw/maps/place/臺中市南屯區黎明路一段1144號,無,12,12,12,0,36,2026/01/09,true,true
臺中市,廖慈凰身心診所,https://www.facebook.com/cfclinic.chen/,04-2325-5018,臺中市西區博館路115號,https://www.google.com.tw/maps/place/臺中市西區博館路115號,掛號費200元,10,10,10,0,30,2026/01/08,true,true
臺中市,芙樂奇心理成長心理諮商所,https://www.psflourish.com.tw/,04-2472-3216,臺中市北屯區大連路二段213號,https://www.google.com.tw/maps/place/臺中市北屯區大連路二段213號,行政規費200元,6,6,6,0,18,2026/01/08,true,true
臺中市,心門心理諮商所,https://www.minddoor-psy.com/,04-23120896 或加入LINEID: @460xawyr ,臺中市沙鹿區正德路72巷50號1樓,https://www.google.com.tw/maps/place/臺中市沙鹿區正德路72巷50號1樓,無,6,6,6,0,18,2026/01/07,true,true
